bill_id,primary sponsor,bill_title
HR 262,"Lant, Bill","Grants the use of the House Chamber to TeenPact on March 4, 2016"
SB 956,Chappelle-Nadal,"Specifies that the state is not liable for, and shall not pay, the debts of financially insolvent municipalities"
HR 240,"Mathews, Kirk","Grants the use of the House Chamber for the presentation of the Glory Awards on February 29, 2016"
HJR 90,"McGaugh, Joe Don",Proposes a constitutional amendment to assert the right of Missourians to hunt and fish
HR 241,"Mathews, Kirk","Grants the use of the House Chamber for the presentation of the Glory Awards on April 11, 2016"
HJR 73,"Chipman, Jason",Proposes a constitutional amendment that no law or action shall prohibit an entity or individual from depicting or displaying the flag of the United States of America on public property
HRB 2039,"Engler, Kevin","Repeals obsolete, expired, sunset, and terminated sections and portions of sections"
HCR 78,"Gardner, Kimberly","Designates July 18 each year as ""Nelson Mandela Day of Recognition"" in Missouri"
HJR 92,"Colona, Mike",Proposes a constitutional amendment to repeal the provision requiring marriage to be between a man and woman in order to be valid
HCR 86,"McDaniel, Andrew",Submits an official application by the State of Missouri for the calling of a convention for proposing an amendment to the United States Constitution
SB 880,Brown,Requires the Director of the Department of Natural Resources to give preference to Missouri residents or businesses whose primary place of business is located in Missouri when awarding state park public concessions contracts
SB 616,Silvey,Expands the requirement for children to wear personal flotation devices
HB 1963,"Lair, Mike",Authorizes the early parole of certain offenders over the age of 65
HJR 71,"Chipman, Jason",Proposes a constitutional amendment that establishes provisions eliminating the use of daylight saving time
SJR 17,Schaaf,Prohibits quasi-governmental entities from entering into long-term bond agreements that financially obligate the state
SB 882,Romine,Establishes the Consumer Legal Funding Model Act
HB 2365,"Rhoads, Shawn",Prohibits a peer support group counselor from testifying as to any confidential communication properly entrusted to the counselor by law enforcement personnel while receiving counseling
HB 2431,"Shaul, Dan",Prohibits municipalities from establishing a minimum wage that exceeds the state minimum wage
SB 913,Brown,Modifies provisions related to watercraft registration
HB 2457,"Dunn, Randy",Changes the laws regarding MO HealthNet services
HB 1782,"Barnes, Jay",Requires the Department of Natural Resources to sell certain lands acquired through environmental settlement funds
SB 653,Gina Walsh,Bars discrimination based on sexual orientation or gender identity
HB 2468,"Hubbard, Penny",Establishes a prisoner re-entry program with the Department of Corrections for offenders who have served their full sentence and are relocating to St. Louis upon release
HB 2374,"English, Keith",Prohibits the publishing of the names of lottery winners
HR 166,"Pfautsch, Donna","Grants the use of the House Chamber to the Women's Legislators' Caucus for an awards ceremony on April 18, 2016"
HJR 91,"Koenig, Andrew",Proposes a constitutional amendment to require public approval in the relevant county before authorizing tax increment financing
HCR 85,"Moon, Mike",Urges Congress to end all current and prohibit further interference by the U.S. Department of Education with respect to state decisions regarding academic content standards
HB 2452,"McNeil, Margo",Implements the Streamlined Sales and Use Tax Agreement
SB 598,Brown,Repeals the law pertaining to prevailing wage
SJR 34,Schaaf,Amends the Constitution to restrict stadium funding
SB 745,Romine,Modifies the law relating to unlawful discrimination
SB 670,Chappelle-Nadal,Requires long-term care facilities to institute policies facilitating familial involvement in the well-being and support of its residents
HB 1571,"Lynch, Steve",Allows members of the reserves of any branch of the United States armed forces to be eligible for a Missouri National Guard educational assistance grant
HB 1714,"Hubrecht, Tila",Establishes the Unborn Child Protection from Dismemberment Abortion Act
HB 1470,"Burlison, Eric","Creates the ""Interstate Power Compact"" to protect member states' sovereignty and assurances granted under the Tenth Amendment with regard to the prevention and control of air pollution"
HB 1723,"Wiemann, John",Prohibits counties or municipalities from requiring property owners of property abutting a county or municipality right-of-way or easement to maintain or pay for its maintenance
SB 854,Brown,Establishes the Joint Committee on Public Assistance
HB 2451,"McNeil, Margo",Allows any registered voter who is eligible to vote in a particular election to do so by absentee ballot without being required to state a reason
SB 955,Gina Walsh,Institutes a gift ban for the members of the General Assembly and their candidate committees
HB 2275,"Frederick, Keith","Limits the number of advanced practice registered nurses, assistant physicians, and physician assistants a physician can enter into a collaborative practice arrangement with or supervise"
HB 2414,"Colona, Mike",Changes the laws regarding complaints filed with the Missouri Commission on Human Rights regarding discrimination based upon a person's sexual orientation or gender identity
HB 2427,"Brattin, Rick",Changes the laws regarding development projects to require the approval of the county
HB 2426,"Vescovo, Rob",Establishes the Missouri Firearms Industry Nondiscrimination Act
HB 1690,"Chipman, Jason",Requires the Office of Administration to contract for a Government Efficiency and Reform review and analysis of the executive branch of state government
HB 1683,"Cookson, Steve",Prohibits local school districts from setting an opening date for the school term that is more than 10 calendar days prior to the first Monday in September for school year 2017-18 and for subsequent years
SB 866,Sater,Modifies laws regarding the renewal of licenses issued by the Board of Pharmacy
HB 1926,"Rowden, Caleb",Requires the Department of Revenue to pay the taxpayers' attorneys' fees in income tax cases if the taxpayer receives a favorable judgment
SB 749,Sifton,"Allows emergency workers to request, receive and submit absentee ballots"
HB 1925,"Rowden, Caleb","Requires all departments and divisions of the state, including statewide offices, to post copies of contracts entered into for provision of legal services from outside firms on Missouri Accountability Portal"
HB 1416,"Houghton, Jay",Prohibits local school districts from choosing an opening date for the school term that is earlier than September first
HCR 95,"Curtis, Courtney Allen",Urges the City of St. Louis to develop a strategy to wean itself off the earnings tax and a plan to invest in North City
HB 2425,"Spencer, Bryan",Changes provisions of law related to certain education work groups
HB 2420,"Spencer, Bryan",Adds duties for the commissioner of education
SB 960,Wieland,Establishes provisions relating to workers' compensation large deductible policies
HB 1475,"Dugger, Tony",Changes the laws regarding local sales tax on motor vehicle titling
HJR 62,"Pogue, Jeff",Establishes the Ninth and Tenth Amendment Preservation Act
SB 990,Onder,Allows students to enroll in a school district other than his or her school district of residence or in a charter school for the purpose of attending virtual courses or programs
HB 1642,"Hicks, Ron",Requires a court to order an evaluation by the Division of Youth Services to determine whether dual jurisdiction of both the criminal and juvenile codes is appropriate for the juvenile offender
SB 957,Chappelle-Nadal,Modifies the minimum wage laws
SB 981,Jamilah Nasheed,Authorizes tax credits for earnings taxes for individuals who live and work in different states
SB 987,Schmitt,Removes a sectional reference to a section of law that was repealed in 2012 relating to the closing times of retailers selling intoxicating liquor
HB 2406,"Jones, Caleb",Allows pharmacists to exercise professional judgment in dispensing varying quantities of medication per fill when filling prescriptions for maintenance medication
HB 2219,"Brattin, Rick",Specifies that firearms and ammunition in a foster parent's home may be stored in the same locked container as long as it is inaccessible to children
SB 983,Nasheed,Creates new provisions of law relating to leave from employment
HB 1691,"Chipman, Jason","Changes the asset limits to qualify for MO HealthNet benefits to $2,000 for a single person and $4,000 for a married couple"
HB 1379,"English, Keith",Requires election authorities to make available at least one electronic voting machine per polling location for blind or visually impaired voters at an election in order to comply with federal law
HB 2323,"Johnson, Delus",Creates the Missouri International Business Advertising Fund to be used to attract international businesses to Missouri
HB 2089,"Chipman, Jason",Requires county financial statements to be published on a county website or in a newspaper of general circulation
HB 1869,"Kratky, Michele","Specifies that any person who causes substantial physical injury or death to a service dog must be ordered to fully compensate for the injury, loss, or replacement of the service dog"
HB 1933,"Miller, Rocky",Changes the laws regarding the Oil and Gas Resources Fund
SB 948,Parson,Creates a tax credit for charitable contributions
HB 2253,"Curtman, Paul",Prohibits requiring police officers to issue a specific number of citations within a designated period of time
SB 959,Holsman,Modifies provisions for the abatement of vacant nuisance properties in Kansas City
SJR 37,Joseph Keaveny,Requires the legislature to appropriate all funds to which public school districts are entitled under the funding formula established by law
HB 1935,"Miller, Rocky",Prohibits watercraft from operating at speeds in excess of slow no-wake speed if the lake elevation of the Lake of the Ozarks is 661 feet or above
HB 1825,"McGaugh, Joe Don",Establishes the offense of unlawful discharge of a firearm across a property line
HB 2120,"Fitzwater, Paul",Specifies that an act by the General Assembly is not required to authorize certain grants or conveyances of an easement to use state property
HB 2112,"Eggleston, J.",Prohibits temporary assistance for needy families
HB 2077,"Davis, Charlie",Changes the laws regarding consumer credit reports so acts in response to major life events do not affect credit scores
HB 1854,"Allen, Sue",Changes the laws regarding the distribution of sales taxes among certain areas of St. Louis County
SB 643,Onder,Modifies provisions of law relating to ethics
HB 1815,"Koenig, Andrew",Establishes the Abortion Ban for Sex Selection and Genetic Abnormalities Act of 2016 to prohibit an abortion solely due to the sex of the unborn child or a genetic abnormality diagnosis
HB 1770,"Dogan, Shamed",Establishes Hair Braiding Freedom Act
HB 1990,"Corlew, Kevin",Modifies provisions relating to convictions of included offenses
HB 1997,"Cornejo, Robert",Creates provisions relating to the licensing of roofing contractors
HB 2134,"Hill, Justin",Modifies provisions related to short-term medical and temporary medical plans
SB 953,Shalonn Curls,Modifies provisions of law relating to the minimum wage
HB 2184,"Fitzwater, Paul",Changes the law regarding land purchases made on behalf of state departments
HCR 58,"Reiboldt, Bill",Disapproves the State Tax Commission's proposed regulation to establish agricultural and horticultural land values for 2017 and 2018
SB 654,Schaaf,Modifies certificate of need requirements for long-term care facilities
HB 1903,"Taylor, Jered",Creates the crime of abuse of an unborn child for a person who illegally uses narcotic drugs while pregnant
HB 1785,"Swan, Kathryn",Modifies provisions relating to sales and use tax
HB 1382,"English, Keith","Specifies that if this state issues a driver's license to an illegal alien, the license must have a distinguishing mark signifying the driver as a noncitizen"
HB 1960,"Franklin, Diane","Transfers all powers, duties, and functions of the Division of Water Patrol within the State Highway Patrol to the State Water Patrol within the Department of Public Safety"
HB 1812,"Hicks, Ron","Changes the definition of ""adult"" to a person 18 years of age or older and ""child"" to a person under 18 years of age for purposes of juvenile court jurisdiction"
SCR 51,Kraus,"Disapproves the regulation filed by the State Tax Commission on December 29, 2015, that establishes new values for certain agricultural and horticultural property"
HB 1996,"Cornejo, Robert",Makes grammatical changes to a provision regarding municipal courts to align with revisions made to the Criminal Code in 2014
HB 1874,"Reiboldt, Bill",Extends the expiration date for the Missouri Qualified Fuel Ethanol Producer Incentive Fund
HB 1635,"Kelley, Mike",Changes the laws regarding the death penalty
HB 1813,"Hicks, Ron",Increases the penalties for the offense of failing to yield the right-of-way and the time period the court may order the suspension of a person's driving privilege for the offense
HB 1992,"Cornejo, Robert",Modifies provisions relating to fraudulent procurement of a credit or debit card
HB 1805,"Basye, Chuck",Requires local law enforcement and other government agencies to report information on MULES within twenty-four hours of the issuance of a warrant or the revocation of a warrant with respect to certain offenses
HB 1775,"Redmon, Craig","Allows certain assistant physicians, advanced practice registered nurses, and physician assistants to prescribe all Schedule II medications"
SB 965,Schaaf,Modifies provisions related to health insurance discrimination
SB 962,Joseph Keaveny,"Requires certain policies on police-worn cameras, allows for the collection of a court fee and creates a fund for the cameras, and makes data from the cameras closed records"
SB 967,Pearce,Requires the Department of Higher Education to develop and maintain website containing certain information on institutions of higher education
HB 2403,"Arthur, Lauren",Modifies provisions relating to employee wages
HB 1932,"Remole, Tim",Allows customers of utilities to opt out of installation of certain types of meters
HB 2240,"McCreery, Tracy",Changes the laws regarding campaign finance reform
SB 982,Wieland,Modifies the law relating to administrative leave for public employees
HB 2317,"Pietzman, Randy",Creates provisions relating to the transportation and storage of firearms in a motor vehicle
HB 1700,"Lant, Bill","Allows public bodies to opt out of prevailing wage laws for the construction of public works projects that are $750,000 or less"
HB 2324,"Johnson, Delus","Creates the Missouri Startup Cloud program, which creates a website for resources helpful to businesses in or relocating to Missouri"
HB 2246,"Barnes, Jay",Modifies provisions regarding sexual offenses against children
SB 961,Joseph Keaveny,"Provides for the expansion of MO HealthNet services beginning January 1, 2017"
HB 2404,"Newman, Stacey",Requires the Department of Labor and Industrial Relations to establish the Equal Pay Commission
HB 2408,"Curtis, Courtney Allen",Requires voter approval for political subdivision expenditures on public works projects projected to cost more than twenty million dollars
SJR 36,Parson,"Limits the enactment of general laws to the first legislative session of a General Assembly, except for certain emergency legislation"
SB 952,Joseph Keaveny,Modifies provisions relating to employee wages
HJR 87,"Curtis, Courtney Allen",Proposes a constitutional amendment removing prohibitions related to school district boundaries and affairs
HB 2410,"Curtis, Courtney Allen",Requires all fire protection districts and municipal fire departments in St. Louis County to consolidate into one fire district upon the approval of the voters in the county
HB 2398,"Mitten, Gina",Prohibits members of the General Assembly who form candidate committees for statewide office from serving as chairs of certain committees
HB 2409,"Curtis, Courtney Allen",Consolidates all the school districts in St. Louis County
SR 1316,Kehoe,"Establishes the number, classification and rates of pay for Senate employees"
HB 2390,"Kirkton, Jeanne",Eliminates mandatory life sentences for convictions of murder in the first degree if committed by a person 17 years of age or under at the time of the commission of the crime
HCR 92,"Walton Gray, Rochelle","Designates April 2016, as ""Donate Life Month"" in Missouri"
SB 859,Munzlinger,Provides that licensed liquor retailers may use dispensing systems that allow patrons to self-dispense up to 16 ounces of wine
HB 2026,"Black, Linda",Authorizes the conveyance of certain state properties
HB 2370,"Webber, Stephen",Prohibits employers from discriminating in providing compensation based on gender for the same work
HB 2373,"Berry, T.J.",Authorizes a sales tax exemption for items used in the production or transmission of electricity to customers
HB 2378,"English, Keith",Authorizes a sales tax in St. Louis dedicated to a new professional soccer stadium upon voter approval
HB 2385,"Korman, Bart","Establishes a ""miles driven"" fee to be paid at the time of registration of a motor vehicle with a model year of 2018 and later"
HCR 88,"Walton Gray, Rochelle","Designates July 13, 2016, as the ""Great Missouri Smokeout Day"""
HCR 56,"Cierpiot, Mike",Convenes a joint session to receive a message from the Chief Justice of the Supreme Court of Missouri
HB 2375,"Hough, Lincoln",Modifies provisions relating to athletic trainers
HB 1634,"Alferman, Justin",Changes the law regarding the mayor's relationship with the board of aldermen
HB 2052,"Moon, Mike",Exempts certain members of the military from the hunter education and safety training course requirements for issuance of a hunting permit
SB 589,David Sater,Removes the current ban on carrying concealed firearms in higher education institutions
SB 582,Munzlinger,Modifies the composition of the Career and Technical Education Advisory Council
SB 731,Munzlinger,"Removes the current ban on carrying concealed firearms in higher education institutions, but allows institutions to ban concealed firearms under certain conditions"
HCR 59,"Barnes, Jay",Disapproves the final order of rulemaking for the proposed rule 19 CSR 15-8.410 relating to the Personal Care Attendant Wage Range
HB 1793,"Morris, Lynn",Divides the Thirty-Eighth Judicial Circuit and creates a new Forty-Sixth Judicial Circuit
HCR 87,"Walton Gray, Rochelle","Requests the Missouri Congressional delegation to support the efforts of the National Women's History Museum to secure a permanent home in Washington, D.C."
HCR 93,"Walton Gray, Rochelle","Designates the week of March 20-26, 2016, as ""Colon Cancer Awareness Week"" in Missouri"
HB 1878,"Solon, Sheila",Changes the laws regarding the substitution by a pharmacist of an interchangeable biological product for a prescribed product
HB 2389,"Barnes, Jay",Changes the laws regarding the MO HealthNet program
HB 2359,"May, Karla",Increases the state minimum wage to $10.10 per hour
HR 6,"Alferman, Justin","Grants the use of the House Chamber to the St. Francois Borgia Regional High School Glory of Missouri Awards Presentation on March 14, 2016"
SB 695,Sifton,Modifies provisions relating to employee wages
HB 2362,"Burlison, Eric",Exempts unarmed security guards working on gambling boats from political subdivision licensing requirements
HR 140,"Bernskoetter, Mike","Grants the use of the House Chamber to the Association of Missouri Electric Cooperatives on July 21, 2016"
HR 14,"Smith, Clem","Grants the use of the House Chamber to the Missouri Girls State program on June 29, 2016"
HR 75,"Hoskins, Denny","Grants the use of the House Chamber to the Missouri Chamber of Commerce - Leadership Missouri on April 13, 2016"
SB 911,Wieland,Modifies provisions related to health insurance
SB 631,Holsman,Prohibits planned communities from barring the installation of solar energy systems
HB 1476,"Dugger, Tony",Changes the laws regarding the classification of records by banks and trust companies
HB 2366,"Harris, Ben",Changes the laws regarding the management and maintenance of museums
HR 139,"Bernskoetter, Mike","Grants the use of the House Chamber to the Missouri Catholic Conference on October 8, 2016"
HB 2356,"McCann Beatty, Gail",Prohibits employers from discriminating in providing compensation based on gender for the same work
HR 68,"Gosen, Don","Grants the use of the House Chamber for the Marquette High School Glory Awards on February 29, 2016"
HCR 84,"Hoskins, Denny",Endorses continued support of the relationship and shared interests between Taiwan and the State of Missouri
HB 2341,"Mitten, Gina",Establishes a recall process for elected officials of 4th class cities
HB 2340,"Gosen, Don",Establishes the Missouri Rx Card Program to provide prescription drug discounts to certain Medicare-eligible and uninsured Missouri residents
HB 2339,"Gosen, Don",Changes the laws regarding alcohol regulations to allow brewers to lease portable refrigeration units
HB 2350,"Burlison, Eric",Changes the laws regarding telehealth services
HB 2338,"LaFaver, Jeremy",Changes the laws regarding marijuana
HB 2343,"Mitten, Gina",Changes the laws regarding eligibility for MO HealthNet benefits
HCR 81,"Peters, Joshua",Requests the Motor Vehicle and Driver Licensing Division of the Department of Revenue to study and consider issuing digital driver's licenses
SJR 20,Kraus,Modifies provisions of law as it relates to voter photo identification
HB 2110,"Bernskoetter, Mike",Specifies that students shall take one course solely on personal finance topics in order to graduate from high school
SB 594,Kraus,Modifies the law relating to voting procedures
HB 1469,"Burlison, Eric",Adopts the Compact for a Balanced Budget
HB 2353,"Morgan, Judy",Establishes the Missouri Tuition Equity Act
HB 2342,"Mitten, Gina",Creates a right to unpaid leave for employees that are affected by domestic violence
HJR 85,"Morgan, Judy",Proposes a constitutional amendment that requires appropriations for education to fully fund the formula
HCR 82,"Morgan, Judy",Establishes Missouri's ratification of the Equal Rights Amendment to the United States Constitution
SB 944,Schatz,Modifies the civil penalty for violating certain underground facility safety standards
HJR 84,"Carpenter, Jon",Proposes a constitutional amendment that requires appropriations for education to fully fund the formula
SB 926,Riddle,"Adds sheltered workshop boards to the definition of ""political subdivision"" for purposes of laws allowing political subdivisions to cooperate with public and private entities"
SB 943,Schatz,Modifies the civil penalty for violating federally mandated natural gas safety standards
HB 2311,"Gosen, Don",Removes requirement that insurer directors file affidavits stating that they have received a certain report and related orders
HB 2303,"Brattin, Rick",Prohibits any public school student from accessing certain facilities that do not correspond to his or her sex unless the student and a staff person are the only persons inside the facility
HJR 83,"Cross, Gary L.",Proposes a constitutional amendment to eliminate taxation on personal property
HB 2318,"Cross, Gary L.",Provides that no person or entity that rents or leases real property shall be required to obtain a business license by any political subdivision of the state
HB 2319,"Carpenter, Jon",Changes the laws regarding complaints filed with the Missouri Commission on Human Rights regarding discrimination based upon a person's sexual orientation or gender identity
SB 935,Wieland,Creates a regulatory scheme for homeowners' associations
HB 1706,"Dugger, Tony",Establishes the Consumer Legal Funding Model Act
SB 933,Curls,Allows Kansas City to employ airport police officers
SB 845,Parson,Modifies certificate of need requirements for long-term care facilities
SCR 52,Parson,"Disapproves the regulation filed by the State Tax Commission on December 29, 2015, that establishes new values for certain agricultural and horticultural property"
HB 1705,"Haahr, Elijah",Establishes the Civil Litigation Funding Act
SB 936,Wallingford,Requires an insurer to send an insured written notification of policy renewal
SCR 57,Maria Chappelle-Nadal,Ratifies the Equal Rights Amendment to the United States Constitution
SB 934,Schaaf,Requires schools and school district to provide home school students the opportunity to participate in extracurricular activities
SB 938,Wallingford,Allows the creation and issuance of insurance policies covering earthquake loss under the Missouri FAIR Plan
HB 1901,"Taylor, Jered",Authorizes a sales tax holiday for a new firearm purchased on the Saturday following July 4th
HJR 82,"Parkinson, Mark",Proposes a constitutional amendment to establish a new appointment process for vacancies occurring in certain statewide offices
HB 2287,"Parkinson, Mark",Changes the determination of a defendant's liability in a tort action for damages by specifying that the liability of each defendant for compensatory or punitive damages must be several and cannot be joint
SB 912,Schaaf,Allows for the use of medical marijuana to treat serious conditions
HB 2279,"McCreery, Tracy",Prohibits discrimination based on sexual orientation or gender identity
HB 2267,"Cornejo, Robert",Changes the laws regarding ethics
HB 1768,"Shull, Noel J",Exempts certain motor vehicles used to transport farm products from motor vehicle inspection requirements
SB 900,Holsman,Requires hospitals and ambulatory surgical centers to report prices for most common procedures
HB 2278,"Fitzpatrick, Scott",Changes the laws regarding sales and use tax to require a portion collected be deposited in the State Road Fund
HB 1457,"Butler, Michael",Establishes the Quality Policing Act that establishes reporting and conduct guidelines for law enforcement agencies
HB 2281,"Newman, Stacey",Allows a voter to cast an advance ballot
HB 1551,"Neely, Jim",Allows a court to order each party to a child custody order to provide the court with an annual report specifying whether the party is in compliance with the order and an accounting of child support payments
HB 1899,"Taylor, Jered",Removes the current ban on carrying concealed firearms in higher education institutions
HB 2041,"Peters, Joshua",Requires the Highway Patrol to investigate any incident occurring in St. Louis city or county in which a law enforcement officer is involved in a shooting or instance resulting in serious bodily harm or death.
SB 889,Onder,Modifies provisions of law relating to project labor agreements
SB 892,Chappelle-Nadal,Requires St. Louis City and St. Louis County to increase the number of contracts awarded to women's and minority business enterprises
SB 874,Pearce,Modifies provisions related to University of Missouri extension councils
HB 1528,"Brown, Wanda","Revises the definition of ""employer"" as it relates to workers' compensation"
HB 2050,"Rone, Don",Only allows circuit judges and associate circuit judges to solemnize marriages
SB 881,Brown,Requires certain employees of the Department of Corrections to receive hazardous duty pay
HB 1407,"White, Bill",Specifies that a person cannot be required to become or refrain from becoming a member of or paying dues to a labor organization as a condition or continuation of employment
HB 1557,"Hubrecht, Tila",Modifies provisions relating to the practice of cosmetology
HCR 64,"Moon, Mike",Applies to Congress for the calling of a convention to propose certain amendments to the United States Constitution which place limits on the federal government
HB 1876,"Haefner, Marsha",Allows the Department of Social Services to contract with pediatric care networks to provide MO HealthNet benefits for medically complex children
HB 1790,"Rone, Don",Allows all-terrain vehicles to be used by individuals sixty years of age or older on conservation land for the purposes of hunting or fishing
HB 1957,"Barnes, Jay","Creates the crime of caller identification spoofing when a person places a call knowingly inserting false information into a caller identification system to mislead, defraud, or deceive"
HB 2122,"Davis, Charlie",Exempts federally licensed firearms dealers who sell or transfer firearms from running a National Instant Criminal Background Check if a valid concealed carry permit is presented
HB 1604,"Higdon, Galen",Requires any person who holds himself or herself out as an advanced radiology practitioner or radiologic technologist to be licensed by the State Board of Registration for the Healing Arts
SB 917,Schaefer,Increases the penalties and driver license suspension periods for those who fail to yield the right-of-way in certain instances
HB 1627,"Cookson, Steve",Caps school superintendent salaries and requires publication of school employee salaries in local newspapers
HB 2292,"Parkinson, Mark",Adds citizenship information to the sexual offender registration form and requires the State Highway Patrol to report to the federal government any non-U.S. citizen on the sexual offender registry
SB 901,Holsman,Repeals the exception to the duty of scrap metal operators to obtain certificates of title for certain inoperable motor vehicles
SB 924,Shalonn Curls,Modifies provisions of law relating to the right of suffrage for former felons
HB 2293,"Parkinson, Mark",Eliminates the corporate income tax imposed on Missouri businesses beginning in 2017
HB 2277,"Curtis, Courtney Allen",Creates the Office of Public Counsel to fund the office within the Missouri Public Service Commission from regulated utilities based on each utility's total gross intrastate operating revenues
HB 2280,"Newman, Stacey",Establishes a procedure for voter pre-registration for persons ages 15 to 18
HB 2273,"Dogan, Shamed","Establishes the ""Fair and Impartial Policing Act"""
HCR 80,"Curtis, Courtney Allen",Disapproves of Barnes-Jewish Hospital moving out of certain neighborhoods in St. Louis
HB 2245,"Peters, Joshua",Establishes the End Racial Profiling Act of 2016
HCR 55,"Cierpiot, Mike",Convenes a joint session for the State of the State Address
HB 1367,"Hubrecht, Tila",Requires review by the General Assembly or committees of the General Assembly of various proposed actions by the Department of Elementary and Secondary Education
HB 1553,"Neely, Jim",Transfers the authority to inspect hotels from the Department of Health and Senior Services to local health departments
SB 669,Ron Richard,Transfers money from certain funds administered by the Department of Natural Resources to general revenue
HB 2165,"Rowden, Caleb",Requires persons becoming lobbyists to dissolve all candidate committees prior to assuming such role
HB 2249,"Carpenter, Jon",Prohibits employers from discriminating in providing compensation based on gender for the same work
HB 2248,"Carpenter, Jon",Changes the laws regarding MO HealthNet services
HB 2274,"Smith, Clem",Allows any registered voter who is eligible to vote in a particular election to do so by absentee ballot without being required to state a reason
HB 2247,"Messenger, Jeffrey","Prohibits the authorization of any public funds or governmental economic incentives for a project involving abortion services, human cloning, or prohibited human research"
HB 1758,"Davis, Charlie",Modifies provisions relating to the housing of a convicted sex offender in a homeless shelter that was in existence prior to a school or child care facility being built within 1000 feet of it
HB 1672,"Kelley, Mike",Exempts any stairway inclined lift owned and operated by a church in the City of Greenfield from safety inspections unless requested by the owner
HB 2221,"Swan, Kathryn",Modifies the laws relating to ethics
HB 2231,"Houghton, Jay",Establishes the Missouri Qualified Fuel Solid Biomass Producer Incentive Fund
HB 2206,"Curtis, Courtney Allen",Changes the laws regarding nonprofit hospitals
HB 2201,"Lavender, Deb",Changes the laws regarding MO HealthNet services
HB 2207,"Curtis, Courtney Allen",Changes the laws regarding youth
HB 2233,"May, Karla",Creates a regulatory system for transportation network companies
HCR 75,"Smith, Clem",Strongly urges the United States Army to explain chemical testing that occurred in St. Louis in the 1950s and 1960s and requests the federal government to conduct a study on the health effects of such te
HCR 76,"Gardner, Kimberly","Designates May 31 each year as ""Missouri No Smoking/Tobacco Day"" in order to increase awareness of the dangers of tobacco use"
HJR 79,"Swan, Kathryn",Proposes a constitutional amendment that establishes contribution limits tied to the federal limits
HB 2214,"Frederick, Keith",Changes the laws regarding cell site simulator devices
HB 1549,"Neely, Jim",Specifies that a parent's obligation to pay child support must terminate when the child turns 18 or graduates from high school unless other circumstances arise that would terminate the obligation
HB 1688,"Chipman, Jason",Creates provisions relating to the use of state owned and operated electronic mail systems by certain state employees
HB 1730,"Reiboldt, Bill",Changes the laws regarding the crime of animal trespass
HB 1638,"Kelley, Mike",Specifies that a person commits the crime of false identification if he or she falsely represents or identifies himself or herself as another person to law enforcement
HB 2222,"Swan, Kathryn",Imposes a two-year rule on serving as a lobbyist or government consultant for former members of the general assembly
HB 2223,"Swan, Kathryn",Allows complaints to be filed with the ethics commission anonymously
HCR 74,"Kirkton, Jeanne",Urges the United States government to condemn the persecution of Falun Gong practitioners
HB 2227,"Barnes, Jay",Changes the laws regarding the Saint Louis Regional Convention and Sports Authority Complex
HB 1692,"Chipman, Jason",Provides convictions and certain pleas in municipal court may be proved to affect a person's credibility
HB 2205,"Newman, Stacey",Creates provisions requiring permits to purchase firearms
HB 2204,"Newman, Stacey",Establishes the Enough is Enough Act regarding college sexual assault policies
HCR 70,"English, Keith","Urges Congress to repeal the REAL ID Act of 2005, which requires uniform driver's licenses or state identification cards"
SR 1220,Kehoe,Use of Chamber/Missouri Girls State
SR 1221,Kehoe,Use of Chamber/Missouri Catholic Conference
HJR 78,"Pogue, Jeff",Proposes a constitutional amendment to allow an elected official of this state or any of its political subdivisions to be removed from office by recall petition
HCR 71,"English, Keith",Requests the United States Congress to transfer authority for the remediation of the West Lake Landfill radioactive waste from the EPA to the Corps of Engineers Formerly Utilized Sites Remedial Action Program
HB 2137,"Carpenter, Jon","Requires ethics training for statewide elected officials, General Assembly members, and executive department directors and acting directors after taking office, appointment, or employment, and every t"
HJR 75,"Marshall, Nick",Proposes a constitutional amendment changing the laws regarding sessions of the General Assembly
HB 2170,"Curtis, Courtney Allen",Modifies provisions of law relating to labor organizations
HB 1740,"Brattin, Rick",Requires the State Board of Mediation to conduct an election to certify the exclusive bargaining representatives of an appropriate collective bargaining unit for certain public employees every two years
HB 1502,"Walton Gray, Rochelle",Modifies provisions allowing law enforcement officers to use deadly force in certain circumstances and establishes a task force on the use of force
HB 2173,"Curtis, Courtney Allen",Changes the laws regarding earnings taxes to exempt certain taxpayers if public funds are used for a convention center or stadium without voter approval
HB 2151,"McNeil, Margo","Increases the maximum upper limit used to calculate the Senior Citizens Property Tax Credit, commonly known as circuit breaker"
HB 1890,"Dogan, Shamed",Prohibits law enforcement from engaging in biased policing practices
HB 2157,"Green, Alan",Creates a tort cause of action for injuries that result from harassment in the workplace
HB 1520,"Ellington, Brandon","Creates provisions relating to racial profiling, searches and seizures, and traffic stops from law enforcement"
HB 1523,"Ellington, Brandon",Requires any criminal justice entity conducting eyewitness identifications to adopt specific procedures for conducting photo and live lineups
HB 1522,"Ellington, Brandon",Requires the Department of Public Safety to create a law enforcement identification numbering system to track complaints against officers from one agency to another agency
SB 617,Wallingford,Modifies provisions relating to feral hogs
HB 2164,"Marshall, Nick",Requires the Office of Administration to install and maintain audio and visual recordings of the capitol office entrances for specified elected officials
HB 1504,"Walton Gray, Rochelle","Establishes in the Department of Public Safety a ""Task Force on Civilian Review Boards"""
